Anno;Grado;Materia;Ordinatore;Regione;Punteggio_WLE;ES;Deviazione_standard_WLE;ES_SD;Percentile5;Percentile25;Percentile75;Percentile95
2013;2;Italiano;2;Valle d'Aosta;205,99;2,8;999;999;142,11;184,99;226,02;257,48
2013;2;Italiano;3;Piemonte;206,9;1,35;999;999;151,68;184,99;226,02;271,28
2013;2;Italiano;4;Liguria;203,2;1,93;999;999;142,11;177,07;226,02;257,48
2013;2;Italiano;5;Lombardia;203,19;1,73;999;999;142,11;177,07;226,02;271,28
2013;2;Italiano;7;Trentino Alto Adige;201,06;0;999;999;142,11;177,07;226,02;271,28
2013;2;Italiano;8;Trentino Alto Adige;210,6;2,73;999;999;151,68;184,99;235,44;271,28
2013;2;Italiano;9;Veneto;202,32;1,71;999;999;142,11;177,07;226,02;257,48
2013;2;Italiano;10;Friuli Venezia Giulia;206,87;2,5;999;999;142,11;177,07;235,44;271,28
2013;2;Italiano;11;Emilia-Romagna;201,63;1,79;999;999;131,65;177,07;226,02;271,28
2013;2;Italiano;13;Toscana;197,76;1,83;999;999;131,65;168,92;226,02;257,48
2013;2;Italiano;14;Umbria;202,18;1,72;999;999;142,11;177,07;226,02;271,28
2013;2;Italiano;15;Marche;206,99;2,21;999;999;142,11;177,07;235,44;271,28
2013;2;Italiano;16;Lazio;200,59;1,64;999;999;142,11;177,07;226,02;257,48
2013;2;Italiano;18;Abruzzo;201;1,56;999;999;142,11;177,07;226,02;257,48
2013;2;Italiano;19;Molise;201,36;2,6;999;999;142,11;177,07;226,02;257,48
2013;2;Italiano;20;Campania;192,84;2,32;999;999;131,65;168,92;217,21;257,48
2013;2;Italiano;21;Puglia;198,66;1,8;999;999;142,11;177,07;226,02;257,48
2013;2;Italiano;23;Basilicata;197,68;2,86;999;999;131,65;168,92;226,02;257,48
2013;2;Italiano;24;Calabria;191,71;2,97;999;999;131,65;168,92;217,21;257,48
2013;2;Italiano;25;Sicilia;192,42;2,34;999;999;131,65;168,92;217,21;257,48
2013;2;Italiano;26;Sardegna;203,8;1,99;999;999;142,11;177,07;226,02;271,28
2013;5;Italiano;2;Valle d'Aosta;209,08;2,52;999;999;147,45;183,96;234,69;264,47
2013;5;Italiano;3;Piemonte;207,75;1,8;999;999;143,02;183,96;234,69;264,47
2013;5;Italiano;4;Liguria;206,75;2,1;999;999;147,45;183,96;234,69;264,47
2013;5;Italiano;5;Lombardia;205,14;1,68;999;999;143,02;179,97;228,94;264,47
2013;5;Italiano;7;Trentino Alto Adige;196,68;0;999;999;133,65;168,09;223,58;264,47
2013;5;Italiano;8;Trentino Alto Adige;207,11;1,84;999;999;143,02;183,96;228,94;264,47
2013;5;Italiano;9;Veneto;205,13;1,81;999;999;138,44;179,97;234,69;264,47
2013;5;Italiano;10;Friuli Venezia Giulia;205,98;2,08;999;999;143,02;179,97;228,94;264,47
2013;5;Italiano;11;Emilia-Romagna;202,84;2,1;999;999;128,62;176,02;228,94;264,47
2013;5;Italiano;13;Toscana;203,62;1,94;999;999;133,65;179,97;228,94;264,47
2013;5;Italiano;14;Umbria;204,11;2,81;999;999;133,65;176,02;234,69;264,47
2013;5;Italiano;15;Marche;205,51;1,71;999;999;143,02;179,97;228,94;264,47
2013;5;Italiano;16;Lazio;200,42;1,83;999;999;128,62;176,02;228,94;264,47
2013;5;Italiano;18;Abruzzo;204,85;1,9;999;999;133,65;176,02;234,69;275,26
2013;5;Italiano;19;Molise;200,26;2,53;999;999;133,65;172,06;228,94;264,47
2013;5;Italiano;20;Campania;191,84;2,23;999;999;128,62;164,09;218,53;255,54
2013;5;Italiano;21;Puglia;194,13;1,77;999;999;128,62;168,09;223,58;255,54
2013;5;Italiano;23;Basilicata;197,41;2,59;999;999;128,62;172,06;223,58;255,54
2013;5;Italiano;24;Calabria;190,83;2,88;999;999;123,31;164,09;218,53;255,54
2013;5;Italiano;25;Sicilia;187,89;1,79;999;999;123,31;160,05;213,72;247,8
2013;5;Italiano;26;Sardegna;197,9;1,9;999;999;138,44;168,09;223,58;264,47
2013;8;Italiano;2;Valle d'Aosta;189,32;14,66;999;999;59,75;174,27;223,85;246,97
2013;8;Italiano;3;Piemonte;203,38;2,64;999;999;146,72;184,55;225,95;256,79
2013;8;Italiano;4;Liguria;200,72;3,73;999;999;118,58;181,6;226,67;258,44
2013;8;Italiano;5;Lombardia;206,28;2,26;999;999;137,2;187,83;230,48;258,59
2013;8;Italiano;7;Trentino Alto Adige;200,75;0;999;999;140,2;185,24;222,71;247,55
2013;8;Italiano;8;Trentino Alto Adige;211,99;1,36;999;999;165,47;192,94;230,56;258,97
2013;8;Italiano;9;Veneto;210,47;2,07;999;999;151,49;191,98;233,06;258,77
2013;8;Italiano;10;Friuli Venezia Giulia;206,04;3,49;999;999;140,84;190,62;228,33;257,6
2013;8;Italiano;11;Emilia-Romagna;208,99;1,44;999;999;155,22;187,93;230,2;259,8
2013;8;Italiano;13;Toscana;202,48;3,95;999;999;111,41;187,08;228,52;258,38
2013;8;Italiano;14;Umbria;207,79;2,34;999;999;155,58;189,91;227,1;258,08
2013;8;Italiano;15;Marche;209,28;2,39;999;999;156,65;192,19;229,37;259,44
2013;8;Italiano;16;Lazio;194,47;4,07;999;999;98,86;176,95;223,39;252,43
2013;8;Italiano;18;Abruzzo;206,14;2,92;999;999;155,69;187,88;227,49;256,73
2013;8;Italiano;19;Molise;206,38;4,12;999;999;136,6;187,24;228,29;259,98
2013;8;Italiano;20;Campania;194,89;2,23;999;999;140,6;173,6;217,23;247,65
2013;8;Italiano;21;Puglia;198,48;2,89;999;999;130,41;175,83;222,8;258,04
2013;8;Italiano;23;Basilicata;192,96;5,47;999;999;110,87;170,39;223,01;254,91
2013;8;Italiano;24;Calabria;190,83;4,3;999;999;85,93;172,35;218,1;251,18
2013;8;Italiano;25;Sicilia;181,27;4,81;999;999;80,78;157,61;215,01;248,32
2013;8;Italiano;26;Sardegna;196,63;4,19;999;999;123,22;182,5;217,82;248,32
2013;10;Italiano;2;Valle d'Aosta;213,45;6,91;999;999;156,04;191,61;238,65;269,15
2013;10;Italiano;3;Piemonte;210,14;3,16;999;999;142,17;188,38;238,65;269,15
2013;10;Italiano;4;Liguria;205,11;3,81;999;999;138,52;178,77;230,35;269,15
