Anno;Grado;Materia;Ordinatore;Ripartizione_geografica;Punteggio_WLE;ES;Deviazione_standard_WLE;ES_SD;Percentile5;Percentile25;Percentile75;Percentile95
2022-23;5;Inglese L;1;Nord Ovest;207,38;3,13;49,31;1,52;127,27;171,18;231,88;295,53
2022-23;5;Inglese L;2;Valle d'Aosta;210,45;4,15;48,76;2,00;133,29;178,49;231,88;295,53
2022-23;5;Inglese L;3;Piemonte;201,11;3,23;46,84;1,56;127,27;171,18;231,88;295,53
2022-23;5;Inglese L;4;Liguria;205,94;3,80;46,08;1,80;133,29;171,18;231,88;295,53
2022-23;5;Inglese L;5;Lombardia;210,02;4,57;50,44;2,24;127,27;171,18;253,15;295,53
2022-23;5;Inglese L;6;Nord Est;210,35;1,77;45,63;0,83;139,29;178,49;231,88;295,53
2022-23;5;Inglese L;7;Prov. Aut. Bolzano (l. it.);227,70;5,73;47,05;2,60;151,48;195,16;253,15;295,53
2022-23;5;Inglese L;8;Prov. Aut. Trento;208,60;5,29;46,88;2,51;139,29;178,49;231,88;295,53
2022-23;5;Inglese L;9;Veneto;207,46;3,13;43,63;1,44;139,29;178,49;231,88;295,53
2022-23;5;Inglese L;10;Friuli-Venezia Giulia;209,31;4,21;46,17;1,98;133,29;178,49;231,88;295,53
2022-23;5;Inglese L;11;Emilia-Romagna;213,37;2,43;47,07;1,14;141,51;178,49;250,69;295,53
2022-23;5;Inglese L;12;Centro;204,35;2,30;48,56;1,12;127,27;171,18;231,88;295,53
2022-23;5;Inglese L;13;Toscana;208,50;3,34;46,03;1,57;133,29;178,49;231,88;295,53
2022-23;5;Inglese L;14;Umbria;219,59;4,81;47,58;2,24;145,34;186,41;253,15;295,53
2022-23;5;Inglese L;15;Marche;212,25;4,15;45,34;1,92;139,29;178,49;242,28;295,53
2022-23;5;Inglese L;16;Lazio;197,66;3,68;49,85;1,85;114,96;164,32;231,88;295,53
2022-23;5;Inglese L;17;Sud;196,26;2,50;48,65;1,25;114,96;164,32;231,88;295,53
2022-23;5;Inglese L;18;Abruzzo;204,27;4,48;46,59;2,14;133,29;171,18;231,88;295,53
2022-23;5;Inglese L;19;Molise;205,11;3,88;46,73;1,85;139,29;174,09;231,88;295,53
2022-23;5;Inglese L;20;Campania;195,37;3,71;49,23;1,86;114,96;164,32;228,66;295,53
2022-23;5;Inglese L;21;Puglia;194,43;4,33;48,19;2,15;114,96;164,32;216,95;295,53
2022-23;5;Inglese L;22;Sud e Isole;185,58;2,44;50,56;1,27;101,83;151,48;216,95;295,53
2022-23;5;Inglese L;23;Basilicata;195,78;4,07;47,66;2,01;121,18;164,32;216,95;295,53
2022-23;5;Inglese L;24;Calabria;183,65;4,33;48,17;2,22;101,83;151,48;212,70;253,15
2022-23;5;Inglese L;25;Sicilia;185,50;3,82;52,20;2,03;101,83;151,48;216,95;295,53
2022-23;5;Inglese L;26;Sardegna;184,78;4,04;48,44;2,07;114,96;151,48;216,95;295,53
2022-23;5;Inglese L;99;Italia;202,07;1,25;49,22;0,62;121,18;171,18;231,88;295,53
2022-23;5;Inglese R;1;Nord Ovest;205,37;2,30;46,37;1,09;124,93;173,07;236,74;272,91
2022-23;5;Inglese R;2;Valle d'Aosta;210,24;2,68;45,76;1,25;124,93;187,12;236,74;272,91
2022-23;5;Inglese R;3;Piemonte;200,07;2,76;46,04;1,32;119,58;166,95;236,74;272,91
2022-23;5;Inglese R;4;Liguria;202,03;3,03;44,72;1,42;124,93;173,07;236,74;272,91
2022-23;5;Inglese R;5;Lombardia;207,85;3,30;46,51;1,56;130,12;178,46;236,74;272,91
2022-23;5;Inglese R;6;Nord Est;206,29;1,30;43,84;0,60;130,12;179,73;236,74;272,91
2022-23;5;Inglese R;7;Prov. Aut. Bolzano (l. it.);215,69;3,67;42,52;1,63;140,26;187,12;236,74;272,91
2022-23;5;Inglese R;8;Prov. Aut. Trento;204,76;4,00;44,21;1,86;124,93;179,73;236,74;272,91
2022-23;5;Inglese R;9;Veneto;205,42;2,29;43,61;1,05;130,12;179,73;236,74;272,91
2022-23;5;Inglese R;10;Friuli-Venezia Giulia;207,97;2,72;44,47;1,26;130,12;179,73;236,74;272,91
2022-23;5;Inglese R;11;Emilia-Romagna;206,73;1,95;43,88;0,90;135,21;178,46;236,74;272,91
2022-23;5;Inglese R;12;Centro;201,78;1,77;46,90;0,85;124,93;173,07;236,74;272,91
2022-23;5;Inglese R;13;Toscana;204,49;2,97;46,36;1,41;124,93;173,07;236,74;272,91
2022-23;5;Inglese R;14;Umbria;216,23;3,98;45,88;1,83;140,26;179,73;272,91;272,91
2022-23;5;Inglese R;15;Marche;209,10;2,56;45,69;1,20;130,12;179,73;236,74;272,91
2022-23;5;Inglese R;16;Lazio;196,22;2,65;46,82;1,30;119,58;166,11;231,20;272,91
2022-23;5;Inglese R;17;Sud;201,78;1,95;46,31;0,94;124,93;169,07;236,74;272,91
2022-23;5;Inglese R;18;Abruzzo;205,67;3,03;45,16;1,42;135,21;173,07;236,74;272,91
2022-23;5;Inglese R;19;Molise;205,02;3,14;44,70;1,47;130,12;173,07;236,74;272,91
2022-23;5;Inglese R;20;Campania;201,11;3,06;46,92;1,48;119,58;169,07;236,74;272,91
2022-23;5;Inglese R;21;Puglia;201,36;3,07;45,72;1,46;124,93;166,95;236,74;272,91
2022-23;5;Inglese R;22;Sud e Isole;188,94;1,90;48,35;0,96;108,07;155,74;218,45;272,91
2022-23;5;Inglese R;23;Basilicata;195,71;3,61;47,53;1,78;119,58;161,20;236,74;272,91
2022-23;5;Inglese R;24;Calabria;187,49;3,42;47,69;1,72;108,07;155,74;218,45;272,91
2022-23;5;Inglese R;25;Sicilia;188,61;2,96;49,30;1,51;108,07;152,20;218,45;272,91
2022-23;5;Inglese R;26;Sardegna;189,63;3,09;45,93;1,52;119,58;155,74;218,45;272,91
2022-23;5;Inglese R;99;Italia;201,79;0,93;46,61;0,45;124,93;172,10;236,74;272,91
2022-23;2;Italiano;1;Nord Ovest;194,39;2,06;48,59;1,03;112,13;165,08;228,34;280,21
2022-23;2;Italiano;2;Valle d'Aosta;193,47;4,00;47,92;1,99;112,13;154,16;228,34;280,21
2022-23;2;Italiano;3;Piemonte;192,24;3,12;46,06;1,52;112,13;156,75;228,34;280,21
2022-23;2;Italiano;4;Liguria;196,87;3,15;47,23;1,54;112,13;165,08;228,34;277,76
2022-23;2;Italiano;5;Lombardia;194,93;2,88;49,68;1,45;112,13;165,08;228,34;280,21
2022-23;2;Italiano;6;Nord Est;195,18;2,00;49,96;1,01;112,13;165,08;228,34;280,21
2022-23;2;Italiano;7;Prov. Aut. Bolzano (l. it.);196,40;4,03;48,20;1,99;112,13;165,08;228,34;280,21
