Date;Country;RegionName;HospitalizedPatients;IntensiveCarePatients;TotalHospitalizedPatients;HomeConfinement;CurrentPositiveCases;NewPositiveCases;Recovered;Deaths;TotalPositiveCases;Ripartizioni geografiche;;;;;
24/02/2020 18:00;ITA;Abruzzo;0;0;0;0;0;0;0;0;0;Sud;;;;;
24/02/2020 18:00;ITA;Basilicata;0;0;0;0;0;0;0;0;0;Sud;;;;;
24/02/2020 18:00;ITA;Calabria;0;0;0;0;0;0;0;0;0;Sud;;;;;
24/02/2020 18:00;ITA;Campania;0;0;0;0;0;0;0;0;0;Sud;;;;;
24/02/2020 18:00;ITA;Emilia-Romagna;10;2;12;6;18;18;0;0;18;Nord-est;;;;;
24/02/2020 18:00;ITA;Friuli Venezia Giulia;0;0;0;0;0;0;0;0;0;Nord-est;;;;;
24/02/2020 18:00;ITA;Lazio;1;1;2;0;2;2;1;0;3;Centro;;;;;
24/02/2020 18:00;ITA;Liguria;0;0;0;0;0;0;0;0;0;Nord-ovest;;;;;
24/02/2020 18:00;ITA;Lombardia;76;19;95;71;166;166;0;6;172;Nord-ovest;;;;;
24/02/2020 18:00;ITA;Marche;0;0;0;0;0;0;0;0;0;Centro;;;;;
24/02/2020 18:00;ITA;Molise;0;0;0;0;0;0;0;0;0;Sud;;;;;
24/02/2020 18:00;ITA;Trentino Alto Adige;0;0;0;0;0;0;0;0;0;Nord-est;;;;;
24/02/2020 18:00;ITA;Trentino Alto Adige;0;0;0;0;0;0;0;0;0;Nord-est;;;;;
24/02/2020 18:00;ITA;Piemonte;2;0;2;1;3;3;0;0;3;Nord-ovest;;;;;
24/02/2020 18:00;ITA;Puglia;0;0;0;0;0;0;0;0;0;Sud;;;;;
24/02/2020 18:00;ITA;Sardegna;0;0;0;0;0;0;0;0;0;Isole;;;;;
24/02/2020 18:00;ITA;Sicilia;0;0;0;0;0;0;0;0;0;Isole;;;;;
24/02/2020 18:00;ITA;Toscana;0;0;0;0;0;0;0;0;0;Centro;;;;;
24/02/2020 18:00;ITA;Umbria;0;0;0;0;0;0;0;0;0;Centro;;;;;
24/02/2020 18:00;ITA;Valle d'Aosta;0;0;0;0;0;0;0;0;0;Nord-ovest;;;;;
24/02/2020 18:00;ITA;Veneto;12;4;16;16;32;32;0;1;33;Nord-est;;;;;
25/02/2020 18:00;ITA;Abruzzo;0;0;0;0;0;0;0;0;0;Sud;;;;;
25/02/2020 18:00;ITA;Basilicata;0;0;0;0;0;0;0;0;0;Sud;;;;;
25/02/2020 18:00;ITA;Calabria;0;0;0;0;0;0;0;0;0;Sud;;;;;
25/02/2020 18:00;ITA;Campania;0;0;0;0;0;0;0;0;0;Sud;;;;;
25/02/2020 18:00;ITA;Emilia-Romagna;15;2;17;9;26;8;0;0;26;Nord-est;;;;;
25/02/2020 18:00;ITA;Friuli Venezia Giulia;0;0;0;0;0;0;0;0;0;Nord-est;;;;;
25/02/2020 18:00;ITA;Lazio;1;1;2;0;2;0;1;0;3;Centro;;;;;
25/02/2020 18:00;ITA;Liguria;1;0;1;0;1;1;0;0;1;Nord-ovest;;;;;
25/02/2020 18:00;ITA;Lombardia;79;25;104;127;231;68;0;9;240;Nord-ovest;;;;;
25/02/2020 18:00;ITA;Marche;0;0;0;0;0;0;0;0;0;Centro;;;;;
25/02/2020 18:00;ITA;Molise;0;0;0;0;0;0;0;0;0;Sud;;;;;
25/02/2020 18:00;ITA;Trentino Alto Adige;1;0;1;0;1;1;0;0;1;Nord-est;;;;;
25/02/2020 18:00;ITA;Trentino Alto Adige;0;0;0;0;0;0;0;0;0;Nord-est;;;;;
25/02/2020 18:00;ITA;Piemonte;2;0;2;1;3;0;0;0;3;Nord-ovest;;;;;
25/02/2020 18:00;ITA;Puglia;0;0;0;0;0;0;0;0;0;Sud;;;;;
25/02/2020 18:00;ITA;Sardegna;0;0;0;0;0;0;0;0;0;Isole;;;;;
25/02/2020 18:00;ITA;Sicilia;1;0;1;2;3;3;0;0;3;Isole;;;;;
25/02/2020 18:00;ITA;Toscana;2;0;2;0;2;2;0;0;2;Centro;;;;;
25/02/2020 18:00;ITA;Umbria;0;0;0;0;0;0;0;0;0;Centro;;;;;
25/02/2020 18:00;ITA;Valle d'Aosta;0;0;0;0;0;0;0;0;0;Nord-ovest;;;;;
25/02/2020 18:00;ITA;Veneto;12;7;19;23;42;10;0;1;43;Nord-est;;;;;
26/02/2020 18:00;ITA;Abruzzo;0;0;0;0;0;0;0;0;0;Sud;;;;;
26/02/2020 18:00;ITA;Basilicata;0;0;0;0;0;0;0;0;0;Sud;;;;;
26/02/2020 18:00;ITA;Calabria;0;0;0;0;0;0;0;0;0;Sud;;;;;
26/02/2020 18:00;ITA;Campania;0;0;0;0;0;0;0;0;0;Sud;;;;;
26/02/2020 18:00;ITA;Emilia-Romagna;20;3;23;23;46;21;0;1;47;Nord-est;;;;;
26/02/2020 18:00;ITA;Friuli Venezia Giulia;0;0;0;0;0;0;0;0;0;Nord-est;;;;;
26/02/2020 18:00;ITA;Lazio;0;0;0;0;0;0;3;0;3;Centro;;;;;
26/02/2020 18:00;ITA;Liguria;6;0;6;5;11;10;0;0;11;Nord-ovest;;;;;
26/02/2020 18:00;ITA;Lombardia;79;25;104;145;249;18;0;9;258;Nord-ovest;;;;;
26/02/2020 18:00;ITA;Marche;1;0;1;0;1;1;0;0;1;Centro;;;;;
26/02/2020 18:00;ITA;Molise;0;0;0;0;0;0;0;0;0;Sud;;;;;
26/02/2020 18:00;ITA;Trentino Alto Adige;1;0;1;0;1;0;0;0;1;Nord-est;;;;;
26/02/2020 18:00;ITA;Trentino Alto Adige;0;0;0;0;0;0;0;0;0;Nord-est;;;;;
26/02/2020 18:00;ITA;Piemonte;2;0;2;1;3;0;0;0;3;Nord-ovest;;;;;
26/02/2020 18:00;ITA;Puglia;0;0;0;0;0;0;0;0;0;Sud;;;;;
26/02/2020 18:00;ITA;Sardegna;0;0;0;0;0;0;0;0;0;Isole;;;;;
26/02/2020 18:00;ITA;Sicilia;1;0;1;2;3;0;0;0;3;Isole;;;;;
26/02/2020 18:00;ITA;Toscana;2;0;2;0;2;0;0;0;2;Centro;;;;;
26/02/2020 18:00;ITA;Umbria;0;0;0;0;0;0;0;0;0;Centro;;;;;
26/02/2020 18:00;ITA;Valle d'Aosta;0;0;0;0;0;0;0;0;0;Nord-ovest;;;;;
26/02/2020 18:00;ITA;Veneto;16;8;24;45;69;28;0;2;71;Nord-est;;;;;
27/02/2020 18:00;ITA;Abruzzo;1;0;1;0;1;1;0;0;1;Sud;;;;;
27/02/2020 18:00;ITA;Basilicata;0;0;0;0;0;0;0;0;0;Sud;;;;;
27/02/2020 18:00;ITA;Calabria;0;0;0;0;0;0;0;0;0;Sud;;;;;
27/02/2020 18:00;ITA;Campania;2;0;2;1;3;3;0;0;3;Sud;;;;;
27/02/2020 18:00;ITA;Emilia-Romagna;36;6;42;54;96;50;0;1;97;Nord-est;;;;;
27/02/2020 18:00;ITA;Friuli Venezia Giulia;0;0;0;0;0;0;0;0;0;Nord-est;;;;;
27/02/2020 18:00;ITA;Lazio;0;0;0;0;0;0;3;0;3;Centro;;;;;
27/02/2020 18:00;ITA;Liguria;9;0;9;10;19;8;0;0;19;Nord-ovest;;;;;
27/02/2020 18:00;ITA;Lombardia;172;41;213;136;349;145;40;14;403;Nord-ovest;;;;;
27/02/2020 18:00;ITA;Marche;2;1;3;0;3;2;0;0;3;Centro;;;;;
27/02/2020 18:00;ITA;Molise;0;0;0;0;0;0;0;0;0;Sud;;;;;
27/02/2020 18:00;ITA;Trentino Alto Adige;1;0;1;0;1;0;0;0;1;Nord-est;;;;;
27/02/2020 18:00;ITA;Trentino Alto Adige;0;0;0;0;0;0;0;0;0;Nord-est;;;;;
27/02/2020 18:00;ITA;Piemonte;2;0;2;0;2;-1;0;0;2;Nord-ovest;;;;;
27/02/2020 18:00;ITA;Puglia;1;0;1;0;1;1;0;0;1;Sud;;;;;
27/02/2020 18:00;ITA;Sardegna;0;0;0;0;0;0;0;0;0;Isole;;;;;
27/02/2020 18:00;ITA;Sicilia;1;0;1;1;2;1;2;0;4;Isole;;;;;
27/02/2020 18:00;ITA;Toscana;2;0;2;0;2;0;0;0;2;Centro;;;;;
27/02/2020 18:00;ITA;Umbria;0;0;0;0;0;0;0;0;0;Centro;;;;;
27/02/2020 18:00;ITA;Valle d'Aosta;0;0;0;0;0;0;0;0;0;Nord-ovest;;;;;
27/02/2020 18:00;ITA;Veneto;19;8;27;82;109;40;0;2;111;Nord-est;;;;;
28/02/2020 18:00;ITA;Abruzzo;1;0;1;0;1;0;0;0;1;Sud;;;;;
28/02/2020 18:00;ITA;Basilicata;0;0;0;0;0;0;0;0;0;Sud;;;;;
28/02/2020 18:00;ITA;Calabria;0;0;0;1;1;1;0;0;1;Sud;;;;;
28/02/2020 18:00;ITA;Campania;2;0;2;2;4;1;0;0;4;Sud;;;;;
28/02/2020 18:00;ITA;Emilia-Romagna;56;6;62;81;143;48;0;2;145;Nord-est;;;;;
28/02/2020 18:00;ITA;Friuli Venezia Giulia;0;0;0;0;0;0;0;0;0;Nord-est;;;;;
28/02/2020 18:00;ITA;Lazio;0;0;0;0;0;0;3;0;3;Centro;;;;;
28/02/2020 18:00;ITA;Liguria;9;0;9;10;19;0;0;0;19;Nord-ovest;;;;;
28/02/2020 18:00;ITA;Lombardia;235;47;282;192;474;128;40;17;531;Nord-ovest;;;;;
28/02/2020 18:00;ITA;Marche;3;2;5;1;6;3;0;0;6;Centro;;;;;
28/02/2020 18:00;ITA;Molise;0;0;0;0;0;0;0;0;0;Sud;;;;;
28/02/2020 18:00;ITA;Trentino Alto Adige;1;0;1;0;1;0;0;0;1;Nord-est;;;;;
28/02/2020 18:00;ITA;Trentino Alto Adige;0;0;0;0;0;0;0;0;0;Nord-est;;;;;
28/02/2020 18:00;ITA;Piemonte;7;0;7;4;11;9;0;0;11;Nord-ovest;;;;;
28/02/2020 18:00;ITA;Puglia;1;0;1;2;3;2;0;0;3;Sud;;;;;
28/02/2020 18:00;ITA;Sardegna;0;0;0;0;0;0;0;0;0;Isole;;;;;
28/02/2020 18:00;ITA;Sicilia;1;0;1;1;2;0;2;0;4;Isole;;;;;
28/02/2020 18:00;ITA;Toscana;5;0;5;2;7;6;1;0;8;Centro;;;;;
28/02/2020 18:00;ITA;Umbria;0;0;0;0;0;0;0;0;0;Centro;;;;;
28/02/2020 18:00;ITA;Valle d'Aosta;0;0;0;0;0;0;0;0;0;Nord-ovest;;;;;
28/02/2020 18:00;ITA;Veneto;24;9;33;116;149;40;0;2;151;Nord-est;;;;;
29/02/2020 17:00;ITA;Abruzzo;2;0;2;0;2;1;0;0;2;Sud;;;;;
29/02/2020 17:00;ITA;Basilicata;0;0;0;0;0;0;0;0;0;Sud;;;;;
29/02/2020 17:00;ITA;Calabria;0;0;0;1;1;0;0;0;1;Sud;;;;;
29/02/2020 17:00;ITA;Campania;3;0;3;10;13;9;0;0;13;Sud;;;;;
29/02/2020 17:00;ITA;Emilia-Romagna;86;11;97;116;213;72;0;4;217;Nord-est;;;;;
29/02/2020 17:00;ITA;Friuli Venezia Giulia;0;0;0;0;0;0;0;0;0;Nord-est;;;;;
29/02/2020 17:00;ITA;Lazio;3;0;3;0;3;3;3;0;6;Centro;;;;;
29/02/2020 17:00;ITA;Liguria;4;1;5;33;38;23;4;0;42;Nord-ovest;;;;;
29/02/2020 17:00;ITA;Lombardia;256;80;336;216;552;84;40;23;615;Nord-ovest;;;;;
29/02/2020 17:00;ITA;Marche;6;2;8;3;11;5;0;0;11;Centro;;;;;
29/02/2020 17:00;ITA;Molise;0;0;0;0;0;0;0;0;0;Sud;;;;;
29/02/2020 17:00;ITA;Trentino Alto Adige;1;0;1;0;1;0;0;0;1;Nord-est;;;;;
29/02/2020 17:00;ITA;Trentino Alto Adige;0;0;0;0;0;0;0;0;0;Nord-est;;;;;
29/02/2020 17:00;ITA;Piemonte;7;0;7;4;11;0;0;0;11;Nord-ovest;;;;;
29/02/2020 17:00;ITA;Puglia;1;0;1;2;3;0;0;0;3;Sud;;;;;
29/02/2020 17:00;ITA;Sardegna;0;0;0;0;0;0;0;0;0;Isole;;;;;
29/02/2020 17:00;ITA;Sicilia;1;0;1;1;2;0;2;0;4;Isole;;;;;
29/02/2020 17:00;ITA;Toscana;7;0;7;3;10;3;1;0;11;Centro;;;;;
29/02/2020 17:00;ITA;Umbria;0;0;0;0;0;0;0;0;0;Centro;;;;;
29/02/2020 17:00;ITA;Valle d'Aosta;0;0;0;0;0;0;0;0;0;Nord-ovest;;;;;
29/02/2020 17:00;ITA;Veneto;24;11;35;154;189;40;0;2;191;Nord-est;;;;;
01/03/2020 17:00;ITA;Abruzzo;3;0;3;2;5;3;0;0;5;Sud;;;;;
01/03/2020 17:00;ITA;Basilicata;0;0;0;0;0;0;0;0;0;Sud;;;;;
01/03/2020 17:00;ITA;Calabria;0;0;0;1;1;0;0;0;1;Sud;;;;;
01/03/2020 17:00;ITA;Campania;4;0;4;13;17;4;0;0;17;Sud;;;;;
01/03/2020 17:00;ITA;Emilia-Romagna;127;13;140;137;277;68;0;8;285;Nord-est;;;;;
01/03/2020 17:00;ITA;Friuli Venezia Giulia;0;0;0;6;6;6;0;0;6;Nord-est;;;;;
01/03/2020 17:00;ITA;Lazio;3;0;3;0;3;0;3;0;6;Centro;;;;;
01/03/2020 17:00;ITA;Liguria;12;1;13;8;21;-17;4;0;25;Nord-ovest;;;;;
01/03/2020 17:00;ITA;Lombardia;406;106;512;375;887;369;73;24;984;Nord-ovest;;;;;
01/03/2020 17:00;ITA;Marche;12;5;17;8;25;14;0;0;25;Centro;;;;;
