Ripartizioni;Regioni_2019;Macrobenthos_2019;Diatomee_2019;Pesci_2019;Macrobenthos_2020;Diatomee_2020;Pesci_2020;Current_Positive;HomeConfinement
Nord;Piemonte;66;49;;64;46;;3730048;3283276
Nord;Valle d'Aosta;29;27;;28;23;;110764;97584
Nord;Lombardia;108;116;20;67;49;;9043307;7921617
Nord;Trentino-Alto Adige;27;28;52;34;35;;730168;664130
Nord;Veneto;57;27;;68;24;;3281542;3091991
Nord;Friuli-Venezia Giulia;68;50;24;5;5;4;561473;526756
Nord;Liguria;51;51;;44;44;;864655;734369
Nord;Emilia-Romagna;45;49;;36;25;;3279008;2950076
Nord;Toscana;89;69;;49;48;;2380874;2232391
Nord;Umbria;18;12;;13;8;;459058;430026
Centro;Marche;28;23;;38;29;;845100;764077
Centro;Lazio;44;27;;36;22;;3583751;3290911
Centro;Abruzzo;;;;;;;728129;671002
Centro;Molise;7;7;7;3;3;2;106669;102244
Sud;Campania;26;14;;20;6;;4033474;3873477
Sud;Puglia;13;13;9;8;8;1;1414356;1302425
Sud;Basilicata;;;;43;35;;201053;190266
Sud;Calabria;;;;;;;390909;364928
Sud;Sicilia;5;5;;;;;1552426;1438368
Sud;Sardegna;38;61;;47;61;;600393;562073
