Stato,Somma di Popolazione 2020,sigla,Capitale
Alabama,5024279,AL,Montgomery
Alaska,733391,AK,Juneau
Arizona,7151502,AZ,Phoenix
Arkansas,3011524,AR,Little Rock
California,39538223,CA,Sacramento
Colorado,5773714,CO,Denver
Connecticut,3605944,CT,Hartford
Delaware,989948,DE,Dover
Florida,21538187,FL,Tallahassee
Georgia,10711908,GA,Atlanta
Hawaii,1455271,HI,Honolulu
Idaho,1839106,ID,Boise
Illinois,12812508,IL,Springfield
Indiana,6785528,IN,Indianapolis
Iowa,3190369,IA,Des Moines
Kansas,2937880,KS,Topeka
Kentucky,4505836,KY,Frankfort
Louisiana,4657757,LA,Baton Rouge
Maine,1362359,ME,Augusta
Maryland,6177224,MD,Annapolis
Massachusetts,7029917,MA,Boston
Michigan,10077331,MI,Lansing
Minnesota,5706494,MN,Saint Paul
Mississippi,2961279,MS,Jackson
Missouri,6154913,MO,Jefferson City
Montana,1084225,MT,Helena
Nebraska,1961504,NE,Lincoln
Nevada,3104614,NV,Carson City
New Hampshire,1377529,NH,Concord
New Jersey,9288994,NJ,Trenton
New Mexico,2117522,NM,Santa Fe
New York,20201249,NY,Albany
North Carolina,10439388,NC,Raleigh
North Dakota,779094,ND,Bismarck
Ohio,11799448,OH,Columbus
Oklahoma,3959353,OK,Oklahoma City
Oregon,4237256,OR,Salem
Pennsylvania,13002700,PA,Harrisburg
Rhode Island,1097379,RI,Providence
South Carolina,5118425,SC,Columbia
South Dakota,886667,SD,Pierre
Tennessee,6910840,TN,Nashville
Texas,29145505,TX,Austin
Utah,3271616,UT,Salt Lake City
Vermont,643077,VT,Montpelier
Virginia,8631393,VA,Richmond
Washington,7705281,WA,Olympia
West Virginia,1793716,WV,Charleston
Wisconsin,5893718,WI,Madison
Wyoming,576851,WY,Cheyenne
