"ProdottoID";"NomeProdotto";"Categoria";"Prezzo";"QuantitaDisponibile"
101;"Prodotto 1";"Libri";147.53;8
102;"Prodotto 2";"Abbigliamento";374.61;58
103;"Prodotto 3";"Abbigliamento";327.07;94
104;"Prodotto 4";"Abbigliamento";265.28;24
105;"Prodotto 5";"Elettronica";173.42;84
106;"Prodotto 6";"Libri";392.92;22
107;"Prodotto 7";"Abbigliamento";267.78;32
108;"Prodotto 8";"Elettronica";346.41;100
109;"Prodotto 9";"Abbigliamento";282.7;56
110;"Prodotto 10";"Abbigliamento";305.57;64
111;"Prodotto 11";"Libri";257.07;44
112;"Prodotto 12";"Elettronica";442.8;53
113;"Prodotto 13";"Libri";46.26;46
114;"Prodotto 14";"Libri";481.54;23
115;"Prodotto 15";"Elettronica";81.78;46
116;"Prodotto 16";"Abbigliamento";53.27;46
117;"Prodotto 17";"Elettronica";54.67;71
118;"Prodotto 18";"Libri";155.39;96
119;"Prodotto 19";"Abbigliamento";224.39;29
120;"Prodotto 20";"Libri";391.49;42
121;"Prodotto 21";"Elettronica";213.04;31
122;"Prodotto 22";"Libri";241.64;99
123;"Prodotto 23";"Abbigliamento";110.78;7
124;"Prodotto 24";"Elettronica";196.17;90
125;"Prodotto 25";"Elettronica";312.33;9
126;"Prodotto 26";"Abbigliamento";175.09;1
127;"Prodotto 27";"Elettronica";373.97;47
128;"Prodotto 28";"Abbigliamento";175.96;24
129;"Prodotto 29";"Elettronica";295.52;91
130;"Prodotto 30";"Abbigliamento";241.74;88
131;"Prodotto 31";"Abbigliamento";300.85;69
132;"Prodotto 32";"Elettronica";448.07;92
133;"Prodotto 33";"Libri";495.76;4
134;"Prodotto 34";"Libri";143.6;12
135;"Prodotto 35";"Libri";460.53;95
136;"Prodotto 36";"Abbigliamento";317.93;39
137;"Prodotto 37";"Libri";128.75;67
138;"Prodotto 38";"Libri";458.94;69
139;"Prodotto 39";"Elettronica";314.98;47
140;"Prodotto 40";"Libri";278.41;71
141;"Prodotto 41";"Elettronica";298.1;18
142;"Prodotto 42";"Libri";314.09;14
143;"Prodotto 43";"Libri";492.91;31
144;"Prodotto 44";"Libri";494.25;57
145;"Prodotto 45";"Elettronica";73.09;1
146;"Prodotto 46";"Abbigliamento";373.69;98
