"SpedizioneID";"MetodoSpedizione";"DataSpedizione";"StatusConsegna"
1;"Posta Prioritaria";"2023-07-10 00:00:00";"In Consegna"
2;"Corriere Express";"2023-02-21 00:00:00";"Consegna Riuscita"
3;"Posta Prioritaria";"2023-07-06 00:00:00";"Consegna Riuscita"
4;"Corriere Express";"2023-05-22 00:00:00";"In Consegna"
5;"Corriere Express";"2023-03-23 00:00:00";"Consegna Riuscita"
6;"Posta Prioritaria";"2023-12-29 00:00:00";"Consegna Riuscita"
7;"Posta Prioritaria";"2023-04-09 00:00:00";"Consegna Riuscita"
8;"Posta Prioritaria";"2023-05-10 00:00:00";"Consegna Riuscita"
9;"Corriere Express";"2023-01-27 00:00:00";"Consegna Riuscita"
10;"Posta Prioritaria";"2023-08-04 00:00:00";"In Consegna"
11;"Corriere Express";"2023-06-07 00:00:00";"Consegna Riuscita"
12;"Corriere Express";"2023-11-02 00:00:00";"In Consegna"
13;"Posta Prioritaria";"2023-03-13 00:00:00";"In Consegna"
14;"Posta Prioritaria";"2023-10-30 00:00:00";"Consegna Riuscita"
15;"Posta Prioritaria";"2023-09-17 00:00:00";"Consegna Riuscita"
16;"Posta Prioritaria";"2024-01-01 00:00:00";"In Consegna"
17;"Corriere Express";"2023-07-15 00:00:00";"In Consegna"
18;"Posta Prioritaria";"2023-02-05 00:00:00";"In Consegna"
19;"Corriere Express";"2023-12-03 00:00:00";"In Consegna"
20;"Corriere Express";"2023-04-15 00:00:00";"In Consegna"
21;"Corriere Express";"2023-08-03 00:00:00";"In Consegna"
22;"Corriere Express";"2023-09-22 00:00:00";"Consegna Riuscita"
23;"Corriere Express";"2023-04-05 00:00:00";"Consegna Riuscita"
24;"Posta Prioritaria";"2023-06-17 00:00:00";"Consegna Riuscita"
25;"Corriere Express";"2023-01-17 00:00:00";"In Consegna"
26;"Posta Prioritaria";"2023-07-18 00:00:00";"In Consegna"
27;"Posta Prioritaria";"2023-04-16 00:00:00";"Consegna Riuscita"
28;"Posta Prioritaria";"2023-08-05 00:00:00";"Consegna Riuscita"
29;"Corriere Express";"2023-02-07 00:00:00";"Consegna Riuscita"
30;"Corriere Express";"2023-01-05 00:00:00";"In Consegna"
31;"Corriere Express";"2023-02-07 00:00:00";"In Consegna"
32;"Posta Prioritaria";"2023-07-07 00:00:00";"In Consegna"
33;"Posta Prioritaria";"2023-01-14 00:00:00";"In Consegna"
34;"Posta Prioritaria";"2023-05-28 00:00:00";"Consegna Riuscita"
35;"Corriere Express";"2023-08-10 00:00:00";"In Consegna"
36;"Corriere Express";"2023-09-19 00:00:00";"Consegna Riuscita"
37;"Corriere Express";"2023-11-14 00:00:00";"Consegna Riuscita"
38;"Posta Prioritaria";"2023-01-10 00:00:00";"Consegna Riuscita"
39;"Posta Prioritaria";"2023-07-03 00:00:00";"In Consegna"
40;"Corriere Express";"2023-07-11 00:00:00";"In Consegna"
41;"Corriere Express";"2023-01-06 00:00:00";"In Consegna"
42;"Corriere Express";"2023-03-22 00:00:00";"In Consegna"
43;"Posta Prioritaria";"2023-02-10 00:00:00";"In Consegna"
44;"Corriere Express";"2023-12-13 00:00:00";"In Consegna"
45;"Corriere Express";"2023-12-11 00:00:00";"In Consegna"
46;"Corriere Express";"2023-05-18 00:00:00";"Consegna Riuscita"
47;"Corriere Express";"2023-11-24 00:00:00";"In Consegna"
48;"Posta Prioritaria";"2023-07-10 00:00:00";"Consegna Riuscita"
49;"Posta Prioritaria";"2023-11-16 00:00:00";"In Consegna"
50;"Corriere Express";"2023-05-03 00:00:00";"Consegna Riuscita"
51;"Corriere Express";"2023-02-28 00:00:00";"Consegna Riuscita"
52;"Posta Prioritaria";"2023-07-11 00:00:00";"In Consegna"
53;"Corriere Express";"2023-12-13 00:00:00";"In Consegna"
54;"Corriere Express";"2023-09-22 00:00:00";"Consegna Riuscita"
55;"Corriere Express";"2023-04-01 00:00:00";"In Consegna"
56;"Corriere Express";"2023-03-19 00:00:00";"Consegna Riuscita"
57;"Posta Prioritaria";"2023-09-27 00:00:00";"Consegna Riuscita"
58;"Posta Prioritaria";"2023-11-21 00:00:00";"In Consegna"
59;"Posta Prioritaria";"2023-12-11 00:00:00";"Consegna Riuscita"
60;"Corriere Express";"2023-08-11 00:00:00";"In Consegna"
61;"Corriere Express";"2023-12-23 00:00:00";"In Consegna"
62;"Corriere Express";"2023-04-15 00:00:00";"Consegna Riuscita"
63;"Corriere Express";"2023-06-01 00:00:00";"In Consegna"
64;"Posta Prioritaria";"2023-02-25 00:00:00";"In Consegna"
65;"Corriere Express";"2023-06-15 00:00:00";"In Consegna"
66;"Posta Prioritaria";"2023-06-16 00:00:00";"In Consegna"
67;"Posta Prioritaria";"2023-02-20 00:00:00";"Consegna Riuscita"
68;"Corriere Express";"2023-05-09 00:00:00";"Consegna Riuscita"
69;"Corriere Express";"2023-04-03 00:00:00";"In Consegna"
70;"Corriere Express";"2023-04-19 00:00:00";"Consegna Riuscita"
71;"Corriere Express";"2023-02-25 00:00:00";"Consegna Riuscita"
72;"Corriere Express";"2023-02-14 00:00:00";"In Consegna"
73;"Corriere Express";"2023-02-12 00:00:00";"Consegna Riuscita"
74;"Posta Prioritaria";"2023-03-20 00:00:00";"Consegna Riuscita"
75;"Posta Prioritaria";"2023-10-06 00:00:00";"Consegna Riuscita"
76;"Posta Prioritaria";"2023-12-17 00:00:00";"In Consegna"
77;"Corriere Express";"2023-04-09 00:00:00";"In Consegna"
78;"Corriere Express";"2023-05-07 00:00:00";"In Consegna"
